"","Cardiac.Fibroblasts","Ventricular.Cardiomyocyte","Endothelial.Cell","Schwann.Cell","Cardiac.Pericyte","Macrophage"
"chr1-830001-835000",-0.632573977525474,0.825371852699875,-0.376818294649385,-0.202962919439058,-0.196452918055424,-0.320290846532316
"chr1-835001-840000",-0.589838531101531,0.812685784683389,-0.288045830144438,-0.19584847813562,-0.212551838380757,-0.23864657796483
"chr1-970001-975000",-0.831094924645292,0.841457486513887,-0.496694907305093,-0.198591658853948,-0.318802783753486,-0.42914724186623
"chr1-975001-980000",-0.821130461196959,0.846291867149635,-0.763333884552547,-0.249887798815281,-0.491414539104614,-0.473416783206643
"chr1-980001-985000",-0.793306337955668,0.812218904350859,-0.788671670826675,-0.19389870865233,-0.408722177739258,-0.758705740992502
"chr1-1130001-1135000",-0.15249192521629,-0.141095195593929,-0.0142102915857354,-0.108172086034634,0.844300400432259,-0.128549197656541
"chr1-1360001-1365000",0.829386809415118,-0.396945199545998,-0.277593156065787,-0.0215674819945003,-0.0503317519708284,-0.248581992200796
"chr1-2050001-2055000",-0.841454164172659,0.847626092576264,-0.806324534942847,-0.254813215101045,-0.362046704120483,-0.44543890974269
"chr1-3065001-3070000",-0.696629690806976,0.778190816422141,-0.69696952440532,-0.18070141796882,-0.594979374477223,-0.804313780189066
"chr1-3070001-3075000",-0.783682534681594,0.813429017569154,-0.779604582670876,-0.1491390690709,-0.414529828256416,-0.767962896834451
"chr1-3075001-3080000",-0.852282253533907,0.831914311183259,-0.561149289993349,-0.101422050955941,-0.215524675305722,-0.44508634203656
"chr1-3080001-3085000",-0.868328734201558,0.822011592259143,-0.454890498367551,-0.00526173391207408,-0.201749410464042,-0.285181468666542
"chr1-3090001-3095000",-0.434297658406713,0.764087986284722,-0.155535483395154,-0.148722945950855,-0.141841892555824,-0.217146619372679
"chr1-3095001-3100000",-0.752849486621352,0.841252092251955,-0.482287069317873,-0.264528704665525,-0.39692517582103,-0.420919760787926
"chr1-3115001-3120000",-0.640991458493592,0.769537815025942,-0.179365948414052,-0.0454847829485504,-0.0832481694647735,-0.177520579001291
"chr1-3205001-3210000",-0.469917963119621,0.761891999665568,-0.261382999920655,0.00317406936763316,-0.0792183459509144,-0.0937400604928829
"chr1-3280001-3285000",-0.673673767824505,0.762721772600587,-0.359346254653742,-0.0464234959857719,-0.22498461610369,-0.249942544314035
"chr1-3290001-3295000",-0.771032460019896,0.845247174112555,-0.544214072512824,-0.281324660595666,-0.378688158674996,-0.400595486700813
"chr1-3305001-3310000",-0.499518486277346,0.77474197686219,-0.311877167818901,-0.0742069651211936,-0.197398730112827,-0.232502916916434
"chr1-3320001-3325000",-0.699890335492618,0.760266460058555,-0.352170030925541,-0.1402065537883,-0.292780078070093,-0.300725880152736
"chr1-3325001-3330000",-0.779509263837416,0.833749233050285,-0.493867626228378,-0.0947924372638317,-0.335321390130353,-0.36939280749472
"chr1-3330001-3335000",-0.821754690860905,0.835333679568966,-0.37539689044222,-0.0901795445305145,-0.331441226108149,-0.356641716571014
"chr1-3335001-3340000",-0.4778009959994,0.77038977674828,-0.321898453407944,0.0552174337331088,-0.109882415741033,-0.223965503990532
"chr1-3345001-3350000",-0.788893232468915,0.834029524015859,-0.76145027209787,-0.0137980853049826,-0.678391862332103,-0.852656772110884
"chr1-3525001-3530000",-0.765876074608931,0.800733407082621,-0.364947116440686,-0.109291894206575,-0.269083078010843,-0.27788061423467
"chr1-3710001-3715000",-0.721319706312794,0.764306337291823,-0.269019864949275,-0.114258214134899,-0.186140934502328,-0.229575499326133
"chr1-4415001-4420000",-0.593686419799159,0.832655222255156,-0.258433785117094,-0.0983771213843172,-0.246948992576767,-0.255795538526095
"chr1-4430001-4435000",-0.426393269441571,0.78960216205396,-0.174832225597477,0.0816305610773372,-0.269688834596874,-0.14859365656411
"chr1-4530001-4535000",-0.32273480505695,0.803890185143891,-0.381127855286027,-0.113293253874725,-0.172254228973933,-0.173449041951235
"chr1-4800001-4805000",0.846729945055872,-0.454334866457114,-0.152331097536526,-0.051042854031831,-0.0894474244375437,-0.0614572932761618
"chr1-4975001-4980000",-0.097402403191565,-0.109344167102725,-0.00092652880662922,0.817042161574902,0.0995477735474742,-0.0214101363491574
"chr1-5660001-5665000",-0.380607530099018,0.762033785928387,-0.233983777542554,-0.165004028491551,-0.236209497613755,-0.131485212375308
"chr1-6000001-6005000",-0.820923429906967,0.895859831339634,-0.779063496193258,-0.365016158040565,-0.623616038116613,-0.661373829516393
"chr1-6005001-6010000",-0.789010600116328,0.798090785133636,-0.378778863001018,-0.237594119984546,-0.246931947445932,-0.185447545103764
"chr1-6010001-6015000",-0.807641100175573,0.868975774636944,-0.776999385796614,-0.196608052294248,-0.53802364054894,-0.381889621529938
"chr1-6015001-6020000",-0.769345152413824,0.822569416937682,-0.397200991894274,-0.226428066730957,-0.290388362572707,-0.214949478980676
"chr1-6225001-6230000",-0.360246411755992,0.780884961997049,-0.17535086705594,-0.11926532496968,-0.225802415055032,-0.121636278568671
"chr1-6230001-6235000",-0.491618063683471,0.825654214191383,-0.330163383982172,-0.173803856569297,-0.310031457075508,-0.27431223051636
"chr1-6585001-6590000",-0.705479038588418,0.766157629908229,-0.566967324870824,-0.121748976171105,-0.313711431309727,-0.304862634634249
"chr1-6665001-6670000",-0.833368308219682,0.905957312610805,-0.550102759636139,-0.247186023735921,-0.333443952778736,-0.370773506287754
"chr1-6670001-6675000",-0.876871628932186,0.91008293544538,-0.536633031145503,-0.273711794129697,-0.36047970249147,-0.541489552357519
"chr1-6685001-6690000",-0.767144575294175,0.858252469823006,-0.463745288371888,-0.233443289276915,-0.322238366943143,-0.289345835189737
"chr1-7010001-7015000",-0.836773012403442,0.848374947921678,-0.656653099784972,-0.203386693642984,-0.311341192971791,-0.329860504765886
